Year,Date submitted,Political subdivision,Resident rate,Non-Resident Rate,Code,Code type
2024,09/18/2023,City of El Campo,1250,1250,A0428,CPT
2024,09/18/2023,City of El Campo,1250,1250,A0429,CPT
2024,09/18/2023,City of El Campo,140,140,A0422,CPT
2024,09/18/2023,City of El Campo,1500,1500,A0426,CPT
2024,09/18/2023,City of El Campo,1500,1500,A0427,CPT
2024,09/18/2023,City of El Campo,175,175,A0998,CPT
2024,09/18/2023,City of El Campo,1800,1800,A0433,CPT
2024,09/18/2023,City of El Campo,2100,2100,A0434,CPT
2024,09/18/2023,City of El Campo,25,25,A0425,CPT
2024,09/18/2023,City of El Campo,300,300,A0382,CPT
2024,09/18/2023,City of El Campo,425,425,A0398,CPT
2024,10/12/2023,Austin and Travis County,1013,1139,A0429,CPT
2024,10/12/2023,Austin and Travis County,1082,1139,A0427,CPT
2024,10/12/2023,Austin and Travis County,1139,1139,A0433,CPT
2024,10/12/2023,Austin and Travis County,13.5,13.5,A0425,CPT
2024,10/12/2023,Austin and Travis County,248,248,A0998,AID AT SCENE
2024,10/30/2023,City of Yoakum EMS,1400,1400,A0428,CPT
2024,10/30/2023,City of Yoakum EMS,1400,1400,A0429,CPT
2024,10/30/2023,City of Yoakum EMS,150,150,A0422,Oxygen
2024,10/30/2023,City of Yoakum EMS,1600,1600,A0426,CPT
2024,10/30/2023,City of Yoakum EMS,1600,1600,A0427,CPT
2024,10/30/2023,City of Yoakum EMS,1800,1800,A0433,CPT
2024,10/30/2023,City of Yoakum EMS,200,200,A0998,TNT
2024,10/30/2023,City of Yoakum EMS,23,23,A0425,CPT
2024,10/30/2023,City of Yoakum EMS,350,350,A0382,BLS Disposables
2024,10/30/2023,City of Yoakum EMS,450,450,A0398,ALS Disposables
2024,10/30/2023,"Wimberley Emergency Medical Service Systems, Inc",1100,1100,A0433,CPT
2024,10/30/2023,"Wimberley Emergency Medical Service Systems, Inc",18,18,A0425,CPT
2024,10/30/2023,"Wimberley Emergency Medical Service Systems, Inc",525,525,A0429,CPT
2024,10/30/2023,"Wimberley Emergency Medical Service Systems, Inc",575,575,A0427,CPT
2024,11/01/2023,Town of Fairview,1400,1400,A0428,CPT
2024,11/01/2023,Town of Fairview,1400,1400,A0429,CPT
2024,11/01/2023,Town of Fairview,150,150,A0422,Oxygen
2024,11/01/2023,Town of Fairview,1600,1600,A0426,CPT
2024,11/01/2023,Town of Fairview,1600,1600,A0427,CPT
2024,11/01/2023,Town of Fairview,1800,1800,A0433,CPT
2024,11/01/2023,Town of Fairview,24,24,A0425,CPT
2024,11/01/2023,Town of Fairview,350,350,A0382,BLS supplies
2024,11/01/2023,Town of Fairview,400,400,A0398,ALS Supplies
2024,11/01/2023,Travis County Emergency Services District No. 2,1100,1100,A0428,CPT
2024,11/01/2023,Travis County Emergency Services District No. 2,1200,1200,A0429,CPT
2024,11/01/2023,Travis County Emergency Services District No. 2,125,125,A0422,Oxygen
2024,11/01/2023,Travis County Emergency Services District No. 2,1400,1400,A0426,CPT
2024,11/01/2023,Travis County Emergency Services District No. 2,1400,1400,A0427,CPT
2024,11/01/2023,Travis County Emergency Services District No. 2,1700,1700,A0433,CPT
2024,11/01/2023,Travis County Emergency Services District No. 2,175,175,A0998,"Treatment, no transport"
2024,11/01/2023,Travis County Emergency Services District No. 2,24,24,A0425,CPT
2024,11/01/2023,Travis County Emergency Services District No. 2,300,300,A0382,BLS Disposable Supplies
2024,11/01/2023,Travis County Emergency Services District No. 2,400,400,A0398,ALS Disposable Supplies
2024,11/07/2023,Wilson County Emergency Services District 4,1300,1300,A0428,CPT
2024,11/07/2023,Wilson County Emergency Services District 4,1400,1400,A0429,CPT
2024,11/07/2023,Wilson County Emergency Services District 4,1600,1600,A0426,CPT
2024,11/07/2023,Wilson County Emergency Services District 4,1600,1600,A0427,CPT
2024,11/07/2023,Wilson County Emergency Services District 4,1700,1700,A0433,CPT
2024,11/07/2023,Wilson County Emergency Services District 4,200,200,A0998,HCPCS
2024,11/07/2023,Wilson County Emergency Services District 4,2200,2200,A0434,CPT
2024,11/07/2023,Wilson County Emergency Services District 4,25,25,A0425,CPT
2024,11/13/2023,PRIMARY AMBULANCE LLC,20,20,A0425,CPT
2024,11/13/2023,PRIMARY AMBULANCE LLC,600,600,A0428,CPT
2024,11/13/2023,PRIMARY AMBULANCE LLC,700,700,A0429,CPT
2024,11/14/2023,Alamo Heights Fire & EMS Dept.,1025,1225,A0427,CPT
2024,11/14/2023,Alamo Heights Fire & EMS Dept.,1100,1300,A0433,CPT
2024,11/14/2023,Alamo Heights Fire & EMS Dept.,16.5,16.5,A0425,CPT
2024,11/14/2023,Alamo Heights Fire & EMS Dept.,950,1150,A0429,CPT
2024,11/14/2023,CYNTHIA PEREZ RAMON,1950,1950,A0428,CPT
2024,11/14/2023,CYNTHIA PEREZ RAMON,2150,2150,A0429,CPT
2024,11/14/2023,CYNTHIA PEREZ RAMON,3000,3000,A0426,CPT
2024,11/14/2023,CYNTHIA PEREZ RAMON,3200,3200,A0427,CPT
2024,11/14/2023,CYNTHIA PEREZ RAMON,3350,3350,A0433,CPT
2024,11/14/2023,CYNTHIA PEREZ RAMON,3850,3850,A0434,CPT
2024,11/14/2023,CYNTHIA PEREZ RAMON,50,50,A0425,CPT
2024,11/14/2023,City of Pharr,1400,1400,A0428,CPT
2024,11/14/2023,City of Pharr,1400,1400,A0429,CPT
2024,11/14/2023,City of Pharr,1800,1800,A0426,CPT
2024,11/14/2023,City of Pharr,1800,1800,A0427,CPT
2024,11/14/2023,City of Pharr,2000,2000,A0433,CPT
2024,11/14/2023,City of Pharr,2000,2000,A0434,CPT
2024,11/14/2023,City of Pharr,35,35,A0425,CPT
2024,11/14/2023,City of Schertz EMS,1090,1090,A0428,CPT
2024,11/14/2023,City of Schertz EMS,1210,1210,A0429,CPT
2024,11/14/2023,City of Schertz EMS,1230,1230,A0426,CPT
2024,11/14/2023,City of Schertz EMS,1440,1440,A0427,CPT
2024,11/14/2023,City of Schertz EMS,1600,1600,A0433,CPT
2024,11/14/2023,City of Schertz EMS,1600,1600,A0434,CPT
2024,11/14/2023,City of Schertz EMS,200,200,A0998 - AC,Aid Call
2024,11/14/2023,City of Schertz EMS,25,25,A0425,CPT
2024,11/14/2023,City of Schertz EMS,25,25,A0888,Uncovered Mileage Rate
2024,11/14/2023,City of Schertz EMS,700,700,A0998,Air Medical Assist
2024,11/14/2023,City of Shavano Park,120,120,A0422,Oxygen
2024,11/14/2023,City of Shavano Park,150,200,Aid Only,Aid Only - No Transport
2024,11/14/2023,City of Shavano Park,18,18,A0425,CPT
